wood,[名]木、材木、(複数形で)森
above,[前][副]～の上に、より高く
cartoon ,[名]漫画、風刺漫画 
chest,[名]胸、整理ダンス、道具箱
dish,[名]皿、料理
fill,[動]満たす、いっぱいにする
floor,[名]床、階
guest,[名]客、ゲスト
hungry ,[形]飢えた、空腹の
hurry,[動]急ぐ
mail,[名][動]郵便、投函する
mouse,[名]ネズミ
poem,[名]詩
safe,[形][名]安全な、無事な、金庫
seat,[名]席、座席
theater,[名]劇場、映画館
vegetable ,[名]野菜
airport,[名]空港、飛行場
art ,[名]芸術、美術
east,[名][副]東(へ)、東部、東洋
husband,[名]夫
loud,[形](声が)大きい、騒がしい
museum,[名]博物館、美術館
ocean,[名]大洋、海、海洋
partner,[名]パートナー、相棒、相手
pilot,[名]パイロット、操縦士
push,[動][名]押す、押すこと
telephone,[名]電話、電話機
album,[名]アルバム
basketball,[名]バスケットボール
coin,[名]コイン、硬貨
pumpkin,[名]かぼちゃ
sketch,[名][動]スケッチ、写生画、写生する
clock,[名]時計、置時計、掛け時計
himself,[代]彼自身
horse,[名]馬
hotel,[名]ホテル、旅館
lady,[名]女性、婦人
recycling,[名]再利用、リサイクル
rose,[名]バラ
tape,[名]テープ
thanks,[名]感謝
beat,[名]鼓動、拍子
share,[動]分け合う、共有する
destroy,[動]破壊する、壊す
somewhere,[副]どこかへ、どこかに
although,[接]だけれども
impossible,[形]不可能な
message,[名]伝言、ことづて
protect,[動]守る、保護する
