dinner,[名]ディナー、タ食、晩餐会
dog,[名]犬
door,[名]ドア、戸、玄関
down,[副]下に、下へ、下の方に
dream,[名][動]夢、夢を見る
easy,[形]やさしい、容易な、かんたんな
evening,[名]晩、タ方、夜
everyone,[代]みなさん、だれでも、すべての人
everything,[代]すべてのもの、すべてのこと、何でも
father,[名]父、お父さん、父親
finish,[動]終える、済ます、終わる
flower,[名]花、草花
friend,[名]友達、仲間、友人
fruit,[名]くだもの、フルーツ、果実
garden,[名]庭、庭園
girl,[名]少女、女の子
give,[動]与える、やる、あげる、(会などを)催す
glad,[形]うれしい、喜んで、喜ばしい
glass,[名]グラス、コップ、ガラス
great,[形]偉大な、大きな、すごい
green,[名][形]緑、緑色、緑の、緑色の
hair,[名]髪、毛、髪の毛
happy,[形]幸福な、うれしい、楽しい
have,[動]持つ、持っている、食べる
he,[代]彼は、彼が
hear,[動]聞く、耳にする、聞こえる
help,[動]手伝う、助ける、役に立つ
hers,[代]彼女のもの
hill,[名]丘、小山
holiday,[名]休日、休暇、祝日
hot,[形]暑い、熱い
how,[副]どんなふうに、どのようにして
hundred,[名][形]100、百、100の、百の
interesting,[形]興味のある、おもしろい、興味深い
into,[前]の中へ、の中に
kitchen,[名]台所、キッチン
know,[動]知っている、知る
lake,[名]湖、湖水
large,[形]大きい、広い
left,[名][形]左、左の
library,[名]図書館、図書室、蔵書
lunch,[名]昼食、昼飯、弁当
many,[形]多くの、たくさんの、多数の
milk,[名]乳、牛乳
momey,[名]金、お金、金銭
month,[名]ひと月、月
moon,[名]月、衛星、月の光
morning,[名]朝、午前
mother,[名]母、お母さん、母親
mountain,[名]山
