hand,[名]手
introduce,[動]紹介する、導入する
language,[名]言語、言葉
late,[形][副]遅い、遅れた、遅刻した
later,[副]あとで、のちほど、その後
letter,[名]手紙、文字
little,[形]小さい、少しの、僅かな
nothing,[代]何も～ない、何もない、何も～でない
one,[名]1 
open,[動]開ける、開く
out,[副]外に〔へ〕、離れて
read,[動]読む、読んだ
sell,[動]売る
ship,[名]船
should,[助]すべきである、したほうがよい
show,[動]見せる、示す
so,[副]そんなに、そのように、それほど
spend,[動]過ごす、ついやす、使う
spring,[名]春ばね、スプリング
stay,[名][動]滞在(する)
that,[代]あれは、あれが、それは
train,[名]列車、電車
water,[名]水
way,[名]道、道のり、方法
white,[名][形]白、白色
yard,[名]庭中庭
along,[副]沿って、前へ
and,[接]そして、と
another,[形]もう1人の、もう1つの、他の
arm,[名]腕
away,[副]離れて、あちらへ、去って
book,[名]本、書物
bring,[動]持ってくる、連れてくる
build,[動]建てる、築く、建築する
buy,[動]買う
call,[動]電話をかける、呼ぶ、(～を～と)よぶ
car,[名]自動車、車、乗用車
carry,[動]運ぶ、持っていく
catch,[動]捕まえる、捕らえる
change,[動]変える、取りかえる、変わる
cloud,[名]雲
come,[動]来る
cook,[動]料理する
different,[形]違った、異なった、異なる
drink,[動]飲む
example,[名]例、実例、手本
feel,[動]感じる、(～のような)感じがする
find,[動]見つける、見つけ出す
fine,[形]元気な、すてきな、よろしい、晴れた
game,[名]試合、ゲーム、遊び
