forward,[副]将来は、前へ
gift,[名]贈り物、プレゼント
goal,[名]ゴール、目標、得点
hero,[名]英雄、主人公、ヒーロー
meaning,[名]意味、意義
mirror,[名]鏡
officer,[名]役人、警官、幹部
pleasant,[形]楽しい、愉快な
post,[名][動]郵便、投函する
power,[名]力
refrigerator,[名]冷蔵庫
sail,[動]航行する、操縦する
senior,[形]年長の、年上の
simple,[形]簡単な、単純な
slip,[動]すべる
subway,[名]地下鉄
teenager,[名]ティーンエイジャー、１０代の人
weekend,[名]週末、ウイークエンド
address,[名]住所、宛名
billion,[名]１０億
blind,[形]目の見えない、盲目の
blossom,[名][動]花、開花する、花が咲く
brush,[動][名](ブラシで)磨く、筆、ブラシ
cave,[名]洞窟、洞穴
clap,[動]拍手する、手をたたく
cover,[動][名]おおう、覆い、表紙、カバー
factory,[名]工場
fair,[形]晴れた、公正な、美しい
fantastic,[形]空想的な、素敵な
giant,[形][名]巨大な、巨人
gun,[名]銃 
headache,[名]頭痛
moment,[名]瞬間
prison,[名]刑務所、牢獄
round,[形][副]丸い、回って
shoulder,[名]肩
strict,[形]厳しい、厳格な
tip,[名]チップ、先端、とがった先
tour,[名]旅行、周遊旅行
upon,[前]の上に、の上で
acid,[名][形]酸、酸性の、すっぱい
bloom,[動][名]開花する、花盛り
boot,[名]ブーツ、長靴
cheer,[名][動]声援、元気づける、はげます
deer,[名]鹿
downstairs,[副]階下へ、階下で
exam,[名]試験、テスト
expensive,[形]高価な、値段が高い
gas,[名]排気ガス、ガソリン、気体
lawyer,[名]弁護士、法律家
