near,[前][形]の近くに、の近くへ、近い
news,[名]知らせ、ニュース
nice,[形]よい、すてきな、親切な
noon,[名]正午、お昼、昼
now,[副]今、さあ、現在
often,[副]しばしば、たびたび、よく
other,[代]ほかのもの、ほかの人
ours,[代]私たちのもの
pencil,[名]えんぴつ
player,[名]選手、競技者、演奏者
rain,[名][動]雨、雨ふり、雨が降る
ready,[形]用意ができて、準備ができて
rice,[名]米、ごはん
river,[名]川
sad,[形]悲しい、悲しそうな、さびしい
same,[形][代]同じ、同一の、同じもの、同じこと
sea,[名]海
she,[代]彼女は、彼女が
sister,[名]姉、妹(女の)きょうだい
sky,[名]空
small,[形]小さな、せまい
smile,[名][動]ほほえみ、微笑む
snow,[名][動]雪、雪が降る
someone,[代]だれか、ある人
soon,[副]まもなく、すぐに、やがて
sorry,[形]申しわけない、残念な
speak,[動]話す、しゃべる
start,[動][名]始める、始まる、出発する、開始
story,[名]話、物語、階
street,[名]街路通り
such,[形]このような、そんな、そのような
summer,[名]夏
tall,[形]高い、背が高い
teach,[動]教える、教えている
teacher,[名]先生、教師
tell,[動]話す、教える、言う
tennis,[名]テニス、庭球
than,[接]より、よりも
thank,[動]感謝する、礼を言う
there,[副]そこで、そこに、そこへ
these,[代]これらは、これらが、これら
they,[代]彼らは、彼女らは、それらは
thing,[名]もの、こと
think,[動]考える、思う
this,[代]これは、この人は、この人が
thousand,[名][形]千、千の
together,[副]いっしょに、ともに
tomorrow,[名]あす、あした
too,[副]～も、もまた、あまりにも、～すぎる
town,[名]町、街
