sing,[動]歌う
station,[名]駅、局、署
strong,[形]じょうぶな、強い
student,[名]生徒、学生
sun,[名]太陽、日光、日差し
talk,[動]話す、話をする、しゃべる
tea,[名]茶、紅茶
try,[動]試す、試みる、努力する
under,[前][副]～の下の、～の下に、下に
visit,[動]訪問する、訪ねる、訪れる
wall,[名]壁、へい
want,[動]が欲しい、を欲する、欲しがる
what,[代][形]何を、何が、どんなもの、何の
who,[代]だれ、だれが、どんな人
whose,[代】だれの、だれのもの
why,[副]なぜ、どうして
wind,[名]風
write,[動]書く、手紙を書く
wrong,[形][副]間違った、ぐあいが悪い、誤った、誤って
afternoon,[名]午後
ago,[副]前に、以前に
already,[副]すでに、もう
also,[副]もまた、また、同様に
always,[副]つねに、いつも、いつでも
animal,[名]動物
answer,[名][動]答え、返事、解答、答える、返事する
aunt,[名]おば
bag,[名]かばん、バッグ、袋
baseball,[名]野球
beautiful,[形]美しい、きれいな
because,[接]なぜなら、なので、そのわけは
bed,[名]ベッド、寝床、寝台
begin,[動]始める、始まる
believe,[動]信じる
between,[前]のあいだに、のどちらかを
bird,[名]鳥
birthday,[名]誕生日
boat,[名]ボート、船、小舟
bread,[名]パン、食パン
breakfast,[名]朝食、朝ごはん
brother,[名]兄、弟、兄弟
building,[名]建物、ビルディング、建築物
bus,[名]バス
card,[名]カード、はがき、トランプ札
cat,[名]ネコ
child,[名]子供
city,[名]市、都市、都会
club,[名]クラブ、部
desk,[名]机
dictionary,[名]辞書、辞典
