color,[名]色、色彩
cool,[形]すずしい、冷たい、冷静な
country,[名]国、国家、いなか
cry,[動][名]泣く、叫ぶ、大声で言う、泣き声
cup,[名]カップ、茶わん
daughter,[名]娘
day,[名]日、1日、昼間
during,[前]の間じゆう、の間ずっと、の間に
each,[形]おのおのの、めいめいの、それぞれの
ear,[名]耳、聴力
early,[形][副]早い、早く
enioy,[動]楽しむ、楽しんでいる、享受する
enough,[形][副]十分な、十分に
family,[名]家族、家庭、家族の人たち
famous,[形]有名な、広く知れわたった
food,[名]食べ物、食物、食料
from,[前]から、の出身の
hello,[間]こんにちは、やあ、もしもし
here,[副]ここに、ここへ、ここで
high,[形][副]高い、高等な、の高さの、高く
hobby,[名]趣味、道楽
home,[副][名]家へ、家に、家、家庭、自宅
hour,[名]時刻、時間、1時間
house,[名]家、住宅
important,[形]重要な、大切な
jump,[動]跳ぶ、はねる、とびはねる
learn,[動]学ぶ、習う、覚える
lesson,[名]課、授業、教訓
listen,[動]聴く、耳を傾ける
make,[動]作る、になる、にする
mine,[代]私のもの
mouth,[名]口
music,[名]音楽
never,[副]1度もない、決してしない
new,[形]新しい
next,[形][副]次の、隣の、今度の、次に、今度は
night,[名]夜、晩
nose,[名]鼻
notebook,[名]帳面、ノート
peace,[名]平和、安心、静けさ
pen,[名]ペン
peeple,[名]人々
poor,[形]貧しい、かわいそうな、あわれな
red,[名][形]赤、赤い
school,[名]学校、授業、流派
science,[名]科学、自然科学、理科
season,[名]季節、時期
shop,[名][動]店、小売店、ショップ、買い物をする
short,[形]短い、背が低い、不足した
sick,[形]病気の、気分が悪い
