astronaut,[名]宇宙飛行士
choose,[動]選ぶ、選択する
joy,[名]喜び
rub,[動]こする
traffic,[名]交通、運送、取引 
wake,[動]目を覚ます
whole ,[副]すべての、全体の
wild,[形]野生の
youth,[名]若さ、青春時代
band,[名]バンド、楽団 
block,[名]ブロック、区画 
mind,[名]心、精神 
past,[名]過去 
sigh,[名][動]ため息 、ため息をつく
straight,[副]まっすぐに
against,[前]～に対して、反対して、逆らって
cross,[動][名]横断する、横切る、十字形
feeling,[名]感情、感覚 
grade,[名]学年、成績、等級
guide,[名][動]案内人、案内する
jam,[名]ジャム、混雑
perhaps,[副]たぶん
point[名]点、要点,[動]指差す
ring ,[動][名]鳴る、リング
throw,[動]投げる
weak,[形]弱い 
wedding,[名]結婚式、婚礼 
bow,[動][名]お辞儀をする 、お辞儀、弓
clerk,[名]店員、係り、売り子、事務員
cloth,[名]布、布地、(複数形で)服
continent,[名]大陸
copy,[動][名]複写する、コピーする、複写
date,[名][動]日付 、デートする
death,[名]死 
lonely,[形]孤独な、さびしい
nature,[名]自然、本質
period,[名]期間、時代、時限
pond,[名]池、沼 
scientist,[名]科学者
shine,[動][名]輝く、光る、輝き、光沢
wet,[動][形]ぬらす、ぬれた、湿った
air,[名][動]空気、大気 、放送する
crane,[名]クレーン、ツル
duck,[名]アヒル、カモ
gold,[名][形]金(の)
lucky,[形]幸運な、運が良い 
modern,[形]現代の、近代の
nickname,[名]あだ名、愛称
pick,[動]摘む、摘み取る
switch,[名][動]スイッチ、せん、スイッチをひねる
