alone,[副][形]ひとりきりで、単独で、(～)のみで
clothes,[名]服、衣服、着物
math,[名]数学
chance,[名]機会、チャンス、見込み
inside,[形][副]内側の、内側に
foreign,[形]外国の、外国人の
forest,[名]森、森林、山林
fun,[名]楽しみ、楽しいこと、おもしろいこと
group,[名]グループ、集団、群れ
happen,[動]起こる、生じる、発生する
mom,[名]お母さん
quiet,[形]静かな、静寂な、ひっそりとした
radio,[名]ラジオ、ラジオ放送
several,[形]いくつかの、数個の
side,[名]側、面、片側
true,[形]ほんとうの、真実の、真の
until,[前]まで(ずっと)
earth,[名]地球、大地、地面
front,[名]前方、前、正面
history,[名]歴史
junior,[形]下級の、年下の、より若い
laugh,[動]笑う
office,[名]事務所、役所、会社
stone,[名]石
use,[動]使う、利用する
voice,[名]声、音
homework,[名]宿題
kill,[動]殺す、死なせる
orange,[名][形]オレンジ、オレンジ色の
rainy,[形]雨降りの、雨の、雨の多い
ski,[動]スキーをする、スキーですべる
war,[名]戦争、戦い、いくさ
young,[形]若い
baby,[名]赤ん坊、赤ちゃん
both,[代][形]両方(の)
box,[名]箱
careful,[形]注意深い、用心深い、慎重な
difficult,[形]むずかしい、困難な、面倒な
doctor,[名]医者、医師
egg,[名]卵
member,[名]会員、部員
newspaper,[名]新聞(紙)
paint,[動][名](絵を)描く、ペンキを塗る、ペンキ、塗料
parent,[名]親、(複数形で)両親
plan,[名]計画、予定、考え
south,[名]南、南方、南部
everywhere,[副]どこでも、いたるところに
land,[名][動]陸地、土地、地面、着陸する
space,[名]宇宙
wave,[名][動]波、波動、揺れる、手を振る、振る
