nobody,[代]誰も～ない
reach ,[動][名]着く、伸ばす、届く範囲
shall,[助]でしょう、するつもりだ
singer,[名]歌手
themselves,[代]彼(女)ら自身
west,[名][形]西(の)、西部(の)
apple,[名]りんご
bath ,[名]風呂
bicycle,[名]自転車
classroom,[名]教室
doll,[名]人形
drop,[動][名]落とす、落ちる、しずく、落下
finger,[名]指
koala,[名]コアラ
lion,[名]ライオン
map,[名]地図
mistake,[名]間違い、誤り
ourselves,[代]私たち自身を(に)
coffee,[名]コーヒー
herself,[代]彼女自身を(に)
leg,[名]脚
myself,[代]私自身
north,[名]北、北部
piano ,[名]ピアノ
shoe(s),[名]くつ
sugar,[名]砂糖
textbook,[名]教科書
volleyball,[名]バレーボール
anyway,[副]ともかく、いずれにしても
lie ,[動][名]横たわる、うそをつく、うそ
list,[名][動]表、名簿、列挙する
judge,[動][名]判断する、裁判官、審査員
nearly,[副]殆ど、だいたい、ほぼ
energy,[名]エネルギー
finally,[副]ついに、とうとう、最後に
hurt,[動]傷つける、けがをさせる
planet,[名]惑星
shy,[形]恥ずかしがりの、内気な
square,[名]平方、正方形、広場
enemy,[名]敵
entrance,[名]入学、入り口
festival,[名]祭り、祭日
funny,[形]おかしな、こっけいな
government,[名]政府、政治
however,[副]しかしながら
pale,[形]青白い、青ざめた
shake,[動]振る、震える
shoot,[動][名]撃つ、シュート
tie,[動][名]結ぶ、ネクタイ
abroad,[副]外国へ、海外に
