secret,[名][形]秘密、秘密の
beauty,[名]美、美しさ
control,[動]支配する、管理する
hang ,[動]掛ける、つるす
plastic,[名][形]プラスチック(の)
position,[名]位置、地位、立場
stranger,[名]見知らぬ人
style,[名]様式、スタイル、型
truth,[名]真実、本当のこと
valley,[名]谷、低地
blow,[動]吹く、鳴らす
bomb,[名]爆弾
forgive ,[動]許す
kid,[名]子供、子ヤギ[動]からかう
luck,[名]運、幸運
nod,[動]うなずく
relax,[動]くつろぐ、リラックスする
shock,[動][名] ショックを与える、打撃
shore,[名]岸、海岸
stupid,[形]馬鹿な、おろかな
tear,[名]涙
wheelchair,[名]車椅子
bill,[名]請求書、紙幣、勘定書
clear,[形]はっきりした、明白な、晴れた
crowd,[動][名]群がる、群集、人ごみ
feather,[名]羽、羽毛
flight,[名]飛行、空の旅
gesture,[名]身振り、手振り
hole,[名]穴
hunt,[動][名]狩る、狩り
instrument,[名]器具、楽器
knee,[名]ひざ、ひざがしら
polite,[形]礼儀正しい、丁寧な
president ,[名]大統領、社長
rather,[副]かなり、むしろ、幾分
silly,[形]ばかげた、おろかな
symbol,[名]象徴、シンボル
trick,[名][動]いたずら、だます
advice,[名]忠告、助言
atomic,[形]原子(力)の
below ,[前]～の下の方に、より下に
business,[名]仕事、商売、事業
check,[動][名]調べる、照合する、伝票、小切手
coast,[名]海岸、沿岸
cousin ,[名]いとこ
daily,[形]毎日の、日々の
discover,[動]発見する
fact,[名]事実、真実
film,[名]映画、フィルム
fool,[名][動]ばか、愚か者、だます、かつぐ
