elephant,[名]象
engineer,[名]技師、エンジニア
fork,[名]フォーク
glove,[名]グローブ、手袋
grandmother,[名]おばあさん、祖母
health,[名]健康
interpreter,[名]通訳、通訳者
leaf,[名]葉、木の葉
mix,[動]混ぜる
passport,[名]旅券、パスポート
purse,[名]財布
roof,[名]屋根、屋上
runner,[名]走者、ランナー
sorrow,[名]悲しみ、悲哀、残念
speaker,[名]話し手、話す人、演説者
sweet,[形][名]甘い、キャンディ、甘い菓子
waiter,[名]ウエイター
absent,[形]欠席して、不在の、欠けて
bakery,[名]パン屋
circus,[名]サーカス
classmate,[名]同級生、クラスメート、級友
driver,[名]運転手、ドライバー
few,[形]殆どない、少ししかない
freely,[形]自由に、勝手に
gate,[名]門、出入り口
gentleman,[名]紳士、男の人
hometown,[名]故郷、生まれた故郷の町
hospital ,[名]病院
jar,[名]つぼ、びん、かめ
low,[形][副]低い、低く
ｍiddle,[形]中間の、真ん中の
mile,[名]マイル
oil,[名]油、石油
potato,[名]じゃがいも
prince,[名]王子
salt,[名]塩、食塩
size,[名]サイズ、寸法、大きさ
spray,[名]スプレー、しぶき
stamp,[名]切手、スタンプ
supper,[名]夕食
topic,[名]話題、トピック
tower,[名]塔、タワー
zero,[名]ゼロ、無、零
bell,[名]ベル、鐘
brown,[名][形]茶色(の)
carrot,[名]にんじん
cement,[名]セメント
chain,[名] 鎖、チェーン
cycling,[名]サイクリング
eraser,[名]消しゴム
