cute,[形]かわいい、りこうな、魅力的な
fight,[動][名]戦う、けんかをする、奮闘する、戦い
own,[形][代]自分自身の、自身の、固有の、自分自身のもの
curtain,[名]カーテン、(劇場の)幕
dirty,[形]よごれた、きたない、不潔な
behind,[前]の後ろに、の背後に、のあとを
camp,[名][動]キャンプ、収容所、キャンプをする
computer,[名]コンピュータ
pay,[動](お金を)払う、支払う
speech,[名]演説、スピーチ、あいさつ
corner,[名]角、曲がり角、隅(すみ)
field,[名]競技場、牧草地、畑
future,[名]将来、未来
hit,[動]たたく、打つ、なぐる
person,[名]人、個人
return,[動]もどる、帰る、を返す
body,[名]体、胴体、身体
climb,[動]登る、よじ登る
diary,[名]日記
free,[形]ひまな、自由な、無料の
heart,[名]心、心臓感情
nurse,[名]看護婦、看護師
top,[名]頂上、てっぺん、最上部
travel,[名][動]旅行、旅行する
weather,[名]天気、天候、空もよう
almost,[副]ほとんど、もう少しで
dad,[名]お父さん、パパ、おとうちゃん
dance,[動][名]踊る、ダンスをする、ダンス、踊り
homeroom,[名]ホームルーム
job,[名]仕事、任務
party,[名]パーティー、会、集まり
phone,[名]電話
receive,[動]受けとる、もらう、受ける
angry,[形]怒った、腹を立てた、怒って
church,[名]教会
king,[名]王様、王、国王
number,[名]数、番号、曲目
road,[名]道、道路
strange,[形]変な、奇妙な、めずらしい
tonight,[名][副]今夜、今晩
trip,[名]旅行、旅
yourself,[代]あなた自身、あなたたち自身、自分で
bridge,[名]橋、橋渡し
camera,[名]カメラ、写真機
hat,[名](ふちのある)ぼうし
song,[名]歌
theirs,[代]彼らのもの、彼女らのもの、それらのもの
forever,[副]永久に、永遠に
rest,[動][名]休む、休息する、休ませる、休憩、残り
wonder,[動]不思議に思う、疑問に思う、～かしらと思う
