for a long time,長い間
get up,起きる、立ち上がる
a lot,とても、たいへん
too ～ (for ...) to ...,(…が)～すぎて…できない
as ～ as …, ...と同じくらい～
go～ing,～しに行く
sit down,座る、着席する
what to ～,何を～すべきか
by bus [car、 train],バス［車、電車］で
go into ～,～の中に入る、～(の領域)に進む
speak to,～に話しかける
from ～ to ...,～から…まで
have a good time,楽しい時間を過ごす
Can I help you?,何かお困りですか？、いらっしゃいませ
come home,帰宅する
be kind to ～,～に親切にする
​think of ～,～を思いつく、～のことを考える
How long ～?,どれくらいの長さ(時間)ですか？
not ～ at all,少しも～ない、どういたしまして
come from ～,～の出身である、～から生じる
I hope (that) ～,～だとよいと思う、～を望む
think about ～,～について考える
tell ～ to ...,～に…するように言う
at home,家で、在宅して
at once,すぐに、直ちに
on one's way (to～),(～へ行く)途中で
be glad [happy] to ～.,～して嬉しい
go home,家に帰る
as soon as ～,～するとすぐに
Thank you for ～,～をありがとう
